"aba, Aphis"
"galii, Linosiphon"
"galiiscabri, Aphis"
"galijae, Acyrthosiphon"
"galinarium, Myzus see langei"
"galiophagum, Linosiphon"
"gallicola, Eumyzus"
"gallowayi, Aphis"
"gaoloushana, Macrosiphoniella"
"garganicus, Eulachnus see tuberculostemmatus"
"garnicai, Uroleucon"
"gaultheriae, Aphis"
"gaurae, Macrosiphum"
"gavarri, Pentalonia"
"gei, Amphorophora, Macrosiphum, Schizoneurella see Eriosoma japonicum"
"geniculatus, Adelges see under laricis"
"georgii, Xerobion see caspicae"
"geranicola, Cryptaphis"
"geranii, Amphorophora, Indoidiopterus, Macrosiphum"
"gerardiae, Aphis"
"gerardianae, Aphis"
"gerberae, Trichosiphonaphis"
"gigantiphagum, Uroleucon"
"glabrum, Chaetosiphon"
"glareosae, Aphis"
"glaricae, Indomyzus  NOMEN NUDUM"
"glauca, Pseudoepameibaphis"
"glaucii, Acyrthosiphon"
"glawatz, Macrosiphum"
"glechomae, Aulacorthum, Ovatus"
"glomeratae, Uroleucon see rapunculoidis"
"glyceriae, Sipha"
"glycines, Aphis"
"gmelini, Staticobium"
"gmelinicola, Macrosiphoniella"
"gnaphalii, Uroleucon"
"gnaphalodes, Pleotrichophorus"
"gnathalifoliae, Capitophorus"
"gnetuma, Aphis"
"gobica, Ephedraphis"
"gobonis, Uroleucon"
"gochnatiae, Uroleucon"
"godetiae, Myzus"
"grabhami, Rhopalomyzus"
"gracilicorne, Chaetosiphon"
"gracilicornis, Illinoia"
"gracilis, Cinara, Schizaphis"
"graeca, Aphidura"
"graminearum, Sitobion"
"graminiphaga, Chaetogeoica"
"graminiradicis, Mimeuria see Tetraneura nigriabdominalis"
"graminis, Anoecia, Colopha, Pentamyzus, Sitobion"
"graminisucta, Melanaphis"
"graminivora, Brachysiphoniella see montana"
"grandicauda, Macrosiphoniella"
"grandis, Aphis, Vesiculaphis"
"granotiae, Micromyzus see Kaochiaoja arthraxonis"
"grata, Aphis"
"gratiolae, Aphis"
"gravicorne, Uroleucon"
"gredina, Uroleucon"
"gregalis, Aphis"
"gregarius, Pleotrichophorus"
"grindeliae, Atarsos, Illinoia, Uroleucon"
"grosmannae, Aphis"
"grossulariae, Aphis, Eriosoma"
"grossum, Uroleucon"
"gutierrezis, Aphis, see Protaphis middletonii"
"gyamdaense, Delphiniobium"
"gynoxanthus, Capitophorus "
"gypsophilae, Aphis, Aphidura"
"handeliae, Dysaphis"
"harmalae, Brachyunguis"
"harmstoni, Ericaphis"
"haroi, Aphis"
"hartigi, Aphis see Protaphis terricola, Macrosiphum"
"hasanica, Aphis"
"hasanicum, Uroleucon"
"healyi, Aphis"
"hedysari, Aphis"
"heiei, Aphis, Nasonovia"
"heikinheimoi, Rhopalosiphoninus"
"heinzei, Coloradoa, Cryptomyzus"
"helenae, Uroleucon"
"helianthemi, Aphis"
"hellebori, Macrosiphum"
"hemerocallis, Myzus"
"henrystroyani, Dysaphis"
"heptapotamicum, Acyrthosiphon, Microsiphum see ptarmicae"
"heraclicola, Aphis"
"hermistonii, Aphis"
"herniariae, Aphis"
"hertae, Anthracosiphon"
"heterohirsuta, Tetraneura see yezoensis"
"heterohirsutus, Pleotrichophorus"
"heterotrichum, Chaetosiphon"
"heucherae, Nasonovia"
"hieracicola, Uroleucon"
"hieracii, Aphis, Hyperomyzus"
"hieracioides, Uroleucon"
"hierochlophaga, Schizaphis"
"hiltoni, Aphis"
"himalayana, Macrosiphoniella"
"hippophaetropis, Ceruraphis see Tenuilongaphis stata"
"hirakurensis, Matsumuraja"
"hirsuta, Cinara, Forda, Macrosiphoniella aktashica ssp., Tetraneura see fusiformis, Xerobion"
"hirsutirostris, Sitobion"
"hirsutissima, Brevisiphonaphis, Dysaphis, Forda"
"hirtellus, Atheroides"
"hirticorne, Chaetosiphon"
"hispanica, Aphis, Colopha"
"hissarica(-us), Betulaphis, Dysaphis, Klimaszewskia salviae ssp., Rhopalomyzus"
"hissaricum, Acyrthosiphon, Titanosiphon neoartemisiae ssp."
"hofmanni, Hydaphias see molluginis"
"hofuchui, Macrosiphoniella see abrotani"
"holboelliae, Sinonipponaphis"
"holci, Diuraphis, Schizaphis"
"holmani, Aphis, Impatientinum, Macrosiphum"
"holodisci, Aphis see cercocarpi, Macrosiphum"
"holsti, Ericolophium"
"horni, Capitophorus"
"hortobagyi, Xerobion"
"horvathi, Trama see caudata, Semiaphis"
"houghtonensis, Nasonovia"
"howlandae, Sitobion see leelamaniae"
"huaidensis, Macrosiphoniella"
"huculaki, Coloradoa see brevipilosa"
"hudsonicus, Capitophorus"
"humboldti, Utamphorophora"
"humilis, Hyalopteroides"
"humulariae, Neoantalus"
"humuli, Aphis, Phorodon"
"humulifoliae, Phorodon"
"humuliosum, Karamicrosiphum"
"humulisuctum, Metopolophium see Rhodobium porosum"
"hungarica, Therioaphis"
"huochengensis, Macrosiphoniella"
"hyaleae, Aphis see Protaphis terricola"
"hybrida, Allaphis"
"hydrangeae, Chakrabartiaphis, Rhopalosiphoninus, Tuberoaphis"
"hydrangi, Eumyzus"
"hydrophilus, Pemphigus"
"hymenocephali, Uroleucon"
"hyperici, Aphis"
"hypericiphaga, Aphis"
"hypericiradicis, Aphis"
"hypersiphonata, Schizaphis"
"hypochoeridis, Aphis, Uroleucon"
"ibarae, Sitobion"
"iberica, Coloradoa bournieri ssp., Nasonovia compositellae ssp."
"icelandicus, Myzus"
"ichigo, Aphis"
"ichigocola, Aphis"
"idaei, Aphis, Amphorophora"
"idahoensis, Cinara see louisianensis, Drepanaphis, Uroleucon"
"ignatii, Aphis see Protaphis terricola"
"ignotum, Acyrthosiphon"
"ilharcoi, Hallaphis, Israelaphis"
"ilka, Acyrthosiphon"
"illicius, Polytrichaphis"
"illini, Uroleucon"
"illinoisensis, Aphis"
"imaicus, Epipemphigus"
"imbricaria, Cachryphora"
"impatiens, Hydronaphis, Impatientinum"
"impatiensae, Eumyzus"
"impatiensicolens, Uroleucon"
"impatientis, Aphis, Macrosiphum"
"impatiphila, Aphis"
"impatiradicis, Aphis"
"imperata, Ceratovacuna"
"incanae, Spatulophorus"
"incerta, Aphis"
"incognita, Cedoaphis, Dysaphis"
"indicum, Sitobion"
"indicus, Chaitophorus, Eumyzus, Myzus"
"indosacchari, Melanaphis"
"inexspectatum, Macrosiphum"
"inflatus, Hyperomyzus"
"infrequens, Aphis"
"infrequenus, Pleotrichophorus"
"ingeborgae, Aphis"
"ingegardae, Iziphya"
"innokentyi, Cryptosiphum"
"inodorella, Coloradoa"
"inquilinus, Tamalia"
"insignata, Macrosiphoniella"
"insitus, Ovatus"
"insularum, Staticobium"
"intermedius, Eulachnus, Pleotrichophorus see pseudoglandulosus, Symydobius, Tuberculatus capitatus ssp."
"inthybi, Xerobion"
"intrusa, Aphis"
"intybi, Aphis"
"inulae, Capitophorus, Dysaphis, Indomasonaphis, Ovatus, Uroleucon"
"inulicola, Uroleucon"
"irae, Muscaphis escherichi ssp."
"iranensis, Aphidura, Aphis"
"iranica, Macrosiphoniella, Obtusicauda"
"iranicus, Brachycaudus, Longicaudus trirhodus ssp."
"ishkovi, Aphis"
"isodonis, Macrosiphum, Myzus"
"ispharinus, Pleotrichophorus glandulosus ssp."
"israelica, Ctenocallis"
"italica, Macrosiphoniella tanacetaria ssp., Phylloxera, Pterocomma"
"itoe, Ericolophium"
"ivae, Uroleucon"
"ivanoskajae, Macropodaphis see rechingeri"
"ixeridis, Aulacorthum, Macrosiphoniella"
"jaceae, Uroleucon"
"jaceicola, Uroleucon"
"jacetana, Aphis"
"jacobaeae, Aphis"
"jacobi, Brachycaudus, Chaetosiphon"
"jamatonica, Melanaphis"
"jammuensis, Nasonovia"
"janckei, Macrosiphoniella"
"janetscheki, Chaetosiphon"
"janischi, Aphis"
"japonicum, Eriosoma"
"japonicus, Adelges (see under laricis), Amphicercidus, Lachnus (see tropicalis), Mindarus, Trichaitophorus, Tuberculatus"
"jaroslavi, Macrosiphoniella, Schizaphis"
"jaroslaviholmani, Macrosiphoniella"
"jashenkoi, Turanoleucon"
"jasmini, Brachymyzus, Macrosiphum"
"javanica, Carolinaia, Nipponaphis"
"javanicum, Mollitrichosiphum (see niitakaensis), Sitobion "
"jazykovi, Microsiphum"
"jeanae, Macrosiphum"
"jianglense, Eutrichosiphum arunachali ssp."
"jianglensis, Cinara"
"jiayuguanensis, Brevicoryne"
"jimoi, Aphidura"
"jinghuali, Macrosiphoniella see oblonga"
"jopepperi, Capitophorus"
"jorgei, Lizerius"
"juchnevitchi, Xerobion"
"juchnevitschae, Myzaphis"
"judenkoi, Micromyzella, Xerobion"
"junackianum, Delphiniobium"
"jungarica, Lipaphis"
"jurineae, Aphis"
"jurineicola, Paczoskia"
"jussiaeae, Hyalomyzus"
"justiciae, Carolinaia"
"kachena, Nearctaphis"
"kalimeris, Chitinosiphon"
"kalimpongensis, Macrosiphoniella, Myzus, Pentalonia, Tetraneura see javensis"
"kalmiae, Neoamphorophora"
"kaltenbachi, Aphis see ononidis"
"kamijiensis, Subsaltusaphis lambersi ssp."
"kamtchatica, Aphis, "
"kamtshatica, Cavariella see pastinacae"
"kansugei, Colopha"
"karakumi, Atheroides"
"karatavica, Volutaphis"
"kareliniae, Protaphis, Macrosiphoniella"
"karzhantavicus, Cryptomyzus"
"kasachstanica, Metopeurum fuscoviride ssp."
"kathleenae, Essigella, Micromyzella"
"katoi, Micromyzus"
"katonica, Klimaszewskia"
"katonkae, Uroleucon"
"kaufmanni, Macrosiphoniella"
"kaussarii, Brachyunguis, Forda"
"kawatabiensis, Myzus"
"kazakhstanica, Chaitaphis"
"kazakhstanicum, Titanosiphon see minkiewiczi"
"keltoni, Tamalia see coweni"
"kenanae, Aphis see Protaphis terricola"
"kermanensis, Macrosiphoniella"
"kermanica, Therioaphis"
"kerriae, Aulacorthum"
"kesocqua, Amphorophora"
"khayami, Therioaphis"
"kheemothicola, Greenidea"
"khinganica, Macrosiphoniella "
"kickapoo, Catamergus"
"kienshuensis, Saltusaphis see scirpus"
"kikioense, Uroleucon"
"kikungshana, Macrosiphoniella"
"kiowanepum, Macrosiphum see valerianae"
"kirgisica, Macrosiphoniella, Uroleucon jaceicola ssp. "
"klimeschi, Aphis"
"klugkisti, Brachycaudus"
"knautiae, Aulacorthum, Macrosiphum"
"knechteli, Acyrthosiphon, Stomaphis"
"kochiae, Aphis see Xerobion eriosomatinum"
"kogomecola, Aphis"
"kolokasia, Gharesia see Patchiella reaumuri"
"kondoi, Acyrthosiphon, Coloradoa see viridis"
"kongoensis, Vesiculaphis"
"koreana, Melanaphis"
"kormion, Pterocomma see populeum"
"korschelti, Cryptomyzus"
"korshunovi, Aphis"
"koryakini, Dysaphis"
"kosarovi, Aphis"
"krizusi, Anoecia"
"krumbolzi, Dysaphis leefmansi ssp."
"kulinitschae, Trama"
"kulundensis, Macropodaphis see rechingeri"
"kumaoni, Eutrichosiphum, Greenidea see nipponica, Thoracaphis, Uroleucon"
"kumauni, Longicaudus"
"kundurensis, Therioaphis"
"kuraijensis, Macropodaphis see paradoxa"
"kurosawai, Aphis"
"kuwakusae, Micromyzodium"
"kuwanai, Aulacorthum, Greenidea, Prociphilus"
"kuwanais, Myzakkaia"
"kuwayamai, Macrosiphoniella"
"kvavadzei, Protaphis"
 
"lacheni, Metopolophium"
"laciniariae, Aphis"
"laconae, Rhopalosiphum see enigmae"
"lactucae, Acyrthosiphon, Hyperomyzus"
"lactucicola, Aphis see Protaphis, Myzus, Protaphis, Uroleucon"
"laevigata, Hybothoracaphis"
"lagacei, Megourina, Pleotrichophorus"
"lagerstroemiae, Myzus see persicae"
"laingi, Amphorophora ampullata ssp., Schizaphis see nigerrima"
"lambi, Macrosiphum"
"lamii, Brachycaudus"
"lamiorum, Aphis"
"lampeli, Wahlgreniella see nervata"
"lampsanae, Hyperomyzus"
"lanceolatum, Uroleucon"
"langei, Aulacorthum, Myzus"
"langloisi, Therioaphis"
"langzhouensis, Cinara cupressi ssp."
"laniger, Amphicercidus"
"lanigera, Ceratovacuna"
"laporteae, Hydronaphis"
"lappae, Dysaphis"
"lapponicum, Macrosiphum"
"largispiracula, Cavariella"
"laseri, Macrosiphum"
"lasiocarpae, Saltusaphis see scirpus"
"latifoliae, Staticobium, Tinocallis"
"latifrons, Ericaphis"
"latysiphon, Macrosiphoniella atra ssp., Rhopalosiphoninus"
"laurestanica, Bicaudella"
"lazikouensis, Tuberocephalus"
"lazoica, Macrosiphoniella"
"lebanonense, Uroleucon"
"ledi, Neoamphorophora"
"leefmansi, Dysaphis"
"leegei, Juncobia"
"leelamaniae, Sitobion"
"lefroyi, Myzus"
"leleji, Acyrthosiphon"
"lena, Macrosiphoniella see dimidiata"
"lentisci, Aploneura"
"leontodontis, Aphis, Uroleucon"
"leontopodiicola, Uroleucon"
"leonurae, Acyrthosiphon"
"leonuri, Cryptomyzus"
"lepidii, Dysaphis vandenboschi ssp., Lipaphis"
"leptotrichus, Myzus see formosanus"
"lespedezae, Megoura"
"letsoniae, Brachyunguis"
"leucanthemi, Macrosiphoniella"
"leucocrini, Abstrusomyzus"
"leucopogonis, Ceriferella"
"leucosceptri, Subovatomyzus"
"levantina, Hyadaphis"
"levipes, Micromyzodium"
"lhasaensis, Aphis"
"libanotidis, Dysaphis"
"lidiae, Macrosiphoniella"
"ligulariae, Aphis, Dysaphis"
"ligularicola, Aulacorthum"
"ligusticae, Aphis"
"liliago, Aphis see antherici"
"lilii, Ericaphis, Macrosiphum"
"liliophaga, Aphis"
"limonicola, Aphis"
"limonii, Staticobium"
"linanense, Cryptosiphum artemisae ssp."
"linariae, Brachycaudus, Macrosiphoniella, Myzus"
"lindae, Aphis"
"lini, Aphis, Linaphis"
"linisuctum, Acyrthosiphon see ilka"
"linorum, Aphis"
"lippiae, Aphis"
"liriopes, Hydronaphis"
"lisae, Macrosiphum"
"litanensis, Capitophorus"
"litoralis, Megoura, Therioaphis"
"littorale, Uroleucon see tucumani"
"littoralis, Sipha"
"lizerianum, Uroleucon ambrosiae ssp."
"llhasana, Cavariella see aegopodii"
"lobkovae, Acyrthosiphon"
"longianus, Prociphilus"
"longicauda, Aspidophorodon, Braggia, Obtusicauda see moldavica"
"longicaudata, Schizaphis"
"longicaudatum, Metopolophium"
"longinectarius, Pleotrichophorus"
"longini, Aphis"
"longipes, Chaitophorus, Paczoskia, Pleotrichophorus"
"longirostrata, Aphis see longirostris, Macrosiphoniella see altaica"
"longirostratum, Macrosiphum"
"longirostre, Uroleucon"
"longisetis, Thripsaphis ballii ssp."
"longisetosum, Acaudinum, Staticobium, Uroleucon"
"longisetosus, Chaitophorus, Rhopalosiphoninus"
"longissima, Semiaphis"
"longitarsus, Protrama"
"longituba, Aphis"
"longituberculatus, Aspidophorodon"
"longius, Uroleucon campanulae ssp."
"longqishanense, Meguroleucon see Uroleucon monticola"
"longqishanensis, Tuberocephalus see Myzus padellus"
"lonicerae, Amphicercidus, Prociphilus, Rhopalomyzus, Trichosiphonaphis"
"lonicericola, Alphitoaphis, Amphicercidus, Neorhopalomyzus"
"lonicerina, Brachycorynella, Brevicoryne"
"lonicerisuctus, Neorhopalomyzus"
"lopatini, Macrosiphoniella"
"loranthi, Sitobion, Tuberaphis"
"loranthicola, Tuberaphis see takenouchii"
"loti, Aphis, Acyrthosiphon, Therioaphis"
"lotiradicis, Aphis"
"louisae, Ericaphis"
"lucifugus, Brachycaudus"
"ludovicianae, Macrosiphoniella"
"lugentis, Aphis"
"lupinehansoni, Aphis"
"lupini, Aphis"
"lupoi, Aphis"
"luppovae, Thecabius see lysimachiae"
"lupuli, Aphis"
"luteola, Therioaphis"
"luteolum, Uroleucon"
"lutescens, Evallocotaphis see Myzodium, Myzodium, Oregma see Astegopteryx bambusae"
"luteum, Sitobion"
"luzulella, Melanaphis"
"luzuriagae, Aphis"
"lychnicola, Brachycaudus"
"lychnidis, Brachycaudus"
"lycii, Brachyunguis"
"lycoctoni, Delphiniobium"
"lycopi, Ovatus see insitus"
"lycopicola, Aphis"
"lydiae, Berberidaphis"
"lysimachiae, Aphis, Thecabius"
"mackaueri, Iziphya"
"macolai, Uroleucon"
"macrosiphon, Uroleucon"
"macrosoleni, Tuberaphis"
"maculatus, Macromyzus"
"maculocorpus, Myzus see obtusirostris"
"madderae, Aphis"
"madia, Uroleucon"
"magnautensus, Pleotrichophorus"
"magnopilosa, Aphis"
"maianthemi, Rhopalosiphoninus"
"maidiradicis, Protaphis see middletonii"
"majanthemi, Aulacorthum"
"malarguense, Uroleucon"
"malhalhiuina, Aphis"
"malina, Dysaphis brancoi ssp."
"malkovskii, Cryptomyzus"
"malvae, Acyrthosiphon, Brachycaudus"
"mamonthova, Aphis"
"maritima, Dysaphis, Trama"
"marthae, Aphis"
"martinezi, Aphis"
"martini, Plocamaphis, Uroleucon"
"masoni, Aphis, Illinoia"
"massagetica, Aphidura, Chaetosiphella"
"mastichinae, Aphis"
"matatum, Sitobion"
"matilei, Aphis, Acyrthosiphon"
"matricariae, Aphis, Metopeurum"
"matthiolae, Lipamyzodes"
"maudamanti, Cryptomyzus"
"mawphlangensis, Micromyzus"
"maxima, Illinoia"
"maximilianicola, Uroleucon"
"maxsoni, Cedoaphis, Georgiaphis see Eriosoma mimicum"
"maydis, Sipha"
"medicaginis, Aphis"
"medvedevi, Macrosiphoniella"
"meixneri, Macrosiphum"
"melantherae, Ipuka"
"melosae, Aphis"
"mendocinum, Uroleucon"
"menthae, Cryptaphis"
"menthaeradicis, Protaphis see middletonii"
"mentharius, Ovatus"
"mentzeliae, Macrosiphum"
"menziesiae, Illinoia"
"meridensis, Microparsus venezuelensis ssp."
"mertensiae, Macrosiphum"
"mesasiatica, Coloradoa"
"mesosphaeri, Macrosiphum"
"mexicana, Diuraphis, Muscaphis"
"mexicanum, Uroleucon"
"microspinulosum, Sitobion"
"middletonii, Protaphis"
"mierae, Uroleucon"
"miestingeri, Macrosiphoniella"
"miho, Macrosiphum"
"mikaniae, Aleurodaphis"
"milii, Sitobion"
"millefolii, Macrosiphoniella, Metopeurum, Microsiphum"
"milleri, Tamalia"
"mimuli, Aphis"
"mimulicola, Myzodium"
"minatii, Macrosiphum"
"minensis, Allocotaphis see quaestionis, Micromyzodium clinopodii ssp. see Chaetosiphon hirticorne, Nipponaphis, Thecabius orientalis spp. see Thecabius affinis"
"mingens, Aphidura see picta"
"minkiewiczi, Titanosiphon"
"minor, Chaetosiphon, Uroleucon"
"minosmartelli, Uroleucon"
"minus, Microsiphum see nudum"
"mira, Chomaphis"
"mirae, Anoecia"
"miranda, Protaphis"
"mirifica, Aphis"
"mitchellensis, Hyalomyzus"
"mitegoni, Capitophorus "
"mitjaevi, Turanoleucon"
"mizutakarashi, Aphis"
"mizzou, Aphis"
"modestum, Myzodium"
"mohelnensis, Aphis"
"moiwaensis, Semiaphis"
"moldavica, Obtusicauda"
"molluginis, Aphis, Hydaphias"
"moltshanovi, Acyrthosiphon"
"monardae, Aphis, Hyalomyzus"
"mongolica, Aphis, Cinara, Hyadaphis, Obtusicauda, Smiela"
"mongolicum, Uroleucon"
"monstratus, Brachyunguis"
"monstrifica, Colophina"
"montana, Brachysiphoniella, Melanaphis, Nasonovia muesbecki ssp., Pseudoregma, Pterocallis, Sappaphis see sinipiricola, Tinocalloides"
"montanivorum, Uroleucon"
"montanum, Acyrthosiphon ilka ssp., Metopolophium"
"montanus, Capitophorus, Taiwanomyzus"
"monticola, Uroleucon"
"monticulum, Pterocomma see yezoense"
"monzeni, Sinonipponaphis  see formosana"
"moralesi, Coloradoa"
"mordvilkoi, Acyrthosiphon see ilka, Aphidura, Aphis fabae ssp., Brachycaudus, Chaitophorus, Cinara, Cryptosiphum, Diphyllaphis, Dysaphis, Forda see hirsuta and pawlowae, Iziphya, Macrosiphum, Pemphigus, Sinochaitophorus, Slavum"
"moriokae, Myzus"
"mosana, Hydaphias"
"mucatha, Sitobion"
"muehlei, Diuraphis"
"muelleri, Chaetosiphon"
"muermosum, Uroleucon"
"muesbecki, Nasonovia"
"muhlenbergiae, Schizaphis"
"mukhamedievi, Metopolophium"
"mulgedii, Uroleucon"
"mulguraeae, Aphis"
"mulini, Aphis"
"mulinicola, Aphis"
"multicoma, Forda see orientalis"
"multiflorae, Aphis"
"multiglandula, Ceratovacuna"
"multipilosum, Macrosiphum"
"multipilosus, Cryptomyzus"
"munirae, Dysaphis"
"murale, Uroleucon"
"musci, Muscaphis"
"mutellinae, Macrosiphoniella"
"mutini, Aphis"
"myohyangsani, Macrosiphoniella"
"myopori, Aphis"
"myosotidis, Myzus"
"myriopteroni, Aulacorthum"
"myrsinitidis, Aphis"
"myrtilli, Pachypappa"
"nabali, Hyperomyzus"
"nairi, Dysaphis anisoidis ssp."
"napelli, Brachycaudus"
"narzikulovi, Aphis, Dysaphis, Pleotrichophorus. Rhopalomyzus, Trama see caudata"
"nasensis, Eutrichosiphum"
"nasonovi, Macrosiphum"
"natricis, Therioaphis"
"necopinata, Staegeriella"
"neerlandicum, Acyrthosiphon see euphorbiae"
"neilliae, Aphis"
"nelsonensis, Aphis"
"nemoralis, Anoecia see furcata"
"neoartemisiae, Titanosiphon"
"neoartemisiphila, Aphis"
"neocampanulae, Uroleucon"
"neomonardae, Aphis"
"neonewtoni, Aphis"
"neopolygoni, Akkaia, Aphis "
"neospiraeae, Aphis"
"neosporadicus, Pleotrichophorus see sporadicus"
"neostroyani, Dysaphis"
"neotattakanum, Eutrichosiphum see russellae"
"neothalictri, Aphis"
"neothesii, Aphis"
"nepetae, Aphis, Berberidaphis see Eucarazzia elegans"
"nepetifolii, Aulacorthum"
"nephrelepidis, Idiopterus"
"netuba, Longicaudus, Netubusaphis see Longicaudus"
"neusi, Sitobion"
"nevadense, Uroleucon"
"nevskyi(i), Aphis, Brachyunguis, Periphyllus, Staticobium see otolepidis, Tinocallis, Xerophilaphis see Brachyunguis"
"nevskyana, Aphis"
"newskyi, Dysaphis"
"newtoni, Aphis"
"nicolaiae, Pseudoregma"
"niger, Hyperomyzus, Micromyzus"
"nigerrima, Schizaphis"
"nigricornis, Hyperomyzus"
"nigrinectarium, Sitobion"
"nigripunctatum, Ericolophium"
"nigrisiphunculata, Brevicoryne"
"nigrocampanulae, Uroleucon"
"nigrocaudata, Cavariella"
"nigromaculosum, Eomacrosiphum"
"nigronervosa, Pentalonia"
"nigropilosa, Macrosiphoniella see atra"
"nigrotibiae, Indomegoura"
"nigrotibium, Uroleucon"
"nigrotuberculatum, Uroleucon"
"niitakensis, Myzakkaia"
"nikolajevi, Macrosiphoniella"
"nilkaensis, Obtusicauda see moldavica"
"ninae, Myzus"
"ninguidum, Ericolophium"
"nipponicum, Micromyzodium, Neoaulacorthum see Pseudomegoura nipponica"
"nitida, Macrosiphoniella"
"nivalis, Aphis, Nasonovia"
"niwanistum, Macrosiphum"
"nodulum, Uroleucon"
"nokuli, Eumyzus"
"nolitangere, Semiaphis"
"nomadica, Aphidura"
"nonveilleri, Aphis"
"noxia, Diuraphis"
"nubilimaculata, Vesiculaphis"
"nuble, Uroleucon"
"nudicauda, Aphis"
"nuditerga, Matsumuraja"
"nudum, Microsiphum"
"oblonga, Macrosiphoniella"
"obscura, Aphis helianthemi ssp., Carolinaia, Cinara, Cinara (Schizolachnus), Therioaphis, Yamatocallis"
"obscuratus, Pleotrichophorus"
"obscuricaudatum, Uroleucon"
"obscurum, Uroleucon"
"obtecta, Paczoskia"
"occidentale, Acyrthosiphon caraganae ssp."
"occidentalis, Adelges (see piceae), Boernerina, Cinara, Macrosiphum, Myzocallis, Nasonovia houghtonensis ssp., Nearctaphis crataegifoliae ssp."
"ochrocentri, Bipersona"
"ochropus, Aphis, Uroleucon"
"odorikonis, Aphis"
"oelandica, Ossiannilssonia"
"oenanthi, Cavariella"
"oestlundi, Aphis, Gypsoaphis, Pleotrichophorus"
"oettingenii, Iziphya see bufo"
"oezdemeri, Myzaphis"
"ogilviei, Aphis"
"ohatensis, Macrosiphoniella"
"ohioensis, Pleotrichophorus"
"olgae, Macrosiphoniella"
"oligommata, Aphis"
"olivei, Microparsus, Uroleucon"
"oliveri, Neotoxoptera"
"olmsteadi, Macrosiphum"
"omeishanense, Uroleucon"
"omeishanensis, Paraphorodon"
"onagraphaga, Aphis see pollinaria"
"ononidis, Aphis, Therioaphis"
"ononis, Acyrthosiphon"
"orangii, Aphis thalictri ssp."
"orchidacearum, Sitobion"
"orchidearum, Cerataphis"
"orchidis, Aphis"
"oredonense, Macrosiphum"
"oregonense, Macrosiphum"
"oreoselini, Dysaphis"
"orientale, Chaetosiphon alpestre ssp., Uroleucon"
"origani, Aphis"
"ornata, Aphidura, Aphis, Liosomaphis, Subsaltusaphis"
"ornatella, Aphidura"
"orobanches, Aphis, Trama"
"orocantabrica, Aphis"
"oronensis, Macrosiphoniella"
"orphnophlebos, Hyalomyzus"
"orthocarpus, Macrosiphum"
"osmaroniae, Macrosiphum"
"osmundae, Micromyzus"
"ossiannilssoni, Dysaphis newskyi ssp., Allaphis, Wahlgreniella"
"otolepidis, Staticobium"
"ouraplax, Akkaia see Trichosiphonaphis polygoni"
"ovalifolii, Ericolophium"
"oxytropiradicis, Aphis"
"oxytropis, Aphis"
"pachysiphon, Braggia urovaneta ssp."
"pachysiphon, Macrosiphum, Uroleucon"
"packi, Pleotrichophorus"
"paczoskii, Paczoskia"
"padiformis, Rhopalosiphum"
"paektusani, Macrosiphum"
"pallidipes, Cinara see obscura, Greenidea, Macrosiphoniella"
"pallidum, Eutrichosiphum, Macrosiphum "
"pallidus, Brachycaudus, Hyperomyzus, Periphyllus, Pleotrichophorus quadritrichus ssp., Tuberculatus"
"paludicola, Aphis"
"paludum, Sitobion"
"palustre, Aulacorthum"
"palustris, Aphis see paludicola, Schizaphis"
"pamirica, Aphidura picta ssp., Chaetosiphella see stipae, Eichinaphis, Macrosiphoniella nigropilosa ssp. (see atra), Trama see maritima"
"paniceae, Subsaltusaphis"
"panici, Ceratovacuna"
"panicola, Pseudoregma"
"paniculatae, Caricosipha"
"panicumi, Paracletus cimiciformis ssp."
"pannonica, Aphidura, Xerobion"
"panzeriae, Aphis"
"papaverinum, Acyrthosiphon see ilka"
"papaverisucta, Myzus see persicae"
"papaverisuctum, Acyrthosiphon, Impatientinum see Acyrthosiphon"
"papillatum, Sitobion"
"papillicauda, Lehrius"
"papillosa, Aphis"
"paqueti, Illinoia"
"paradisicum, Meringosiphon"
"paradoxa, Aphis, Coloradoa, Loniceraphis, Macropodaphis, Macrosiphoniella, Neosappaphis"
"paraoblonga, Macrosiphoniella see oblonga"
"parasonchi, Uroleucon see sonchi"
"paravanoi, Aphis"
"paraverbasci, Aphis see raji"
"pareuphorbiae, Acyrthosiphon "
"parietariae, Aphis"
"parilis, Pleotrichophorus"
"parthenocissi, Greenidea, Neomyzus, Neothelaxes"
"parva, Cinara (Schizolachnus), Hyadaphis"
"parvae, Rhopalosiphum"
"parviflori, Amphorophora"
"parvifolii, Macrosiphum"
"parvotuberculatum, Uroleucon"
"parvulum, Aulacorthum see vaccinii, Eutrichosiphum"
"parvum, Acyrthosiphon"
"pashtshenkoae, Aphis, Schizaphis"
"pasqualei, Uroleucon jaceicola ssp."
"passeriniana, Aphis"
"patagonica, Aphis"
"patagonicum, Uroleucon"
"patonkus, Pleotrichophorus"
"patonkusellus, Pleotrichophorus"
"patriniae, Aphis"
"patrinicola, Aphis"
"patriniphila, Aphis"
"patvaliphaga, Aphis"
"paucisetosa, Macrosiphoniella"
"paucosensoriatum, Uroleucon"
"pauliani, Eonaphis, Sitobion"
"pavlovski, Aphis"
"pawtincae, Amphorophora"
"payuniense, Uroleucon"
"pediculariphaga, Aphis"
"pedicularis, Cyrtomyzus see Myzus padellus"
"penderum, Uroleucon"
