Aphis nerii
Aphis nigra
Aphis nigratibialis
Aphis nivalis
Aphis odinae
Aphis oenotherae
Aphis oestlundi
Aphis oregonensis
Aphis ornata
Aphis pawneepae
Aphis penstemicola
Aphis pentstemonicola
Aphis phaceliae
Aphis pilosicauda
Aphis plantaginis
Aphis polygonata
Aphis pomi
Aphis praeterita
Aphis pseudovalerianae
Aphis pulchella
Aphis ramona
Aphis reticulata
Aphis ribiensis
Aphis ribigillettei
Aphis ripariae
Aphis roripae
Aphis rostellum
Aphis rubicola
Aphis rubifolii
Aphis rubiradicis
Aphis ruborum
Aphis rumicis
Aphis salicariae
Aphis sambuci
Aphis sambucifoliae
Aphis saniculae
Aphis sassceri
Aphis schuhi
Aphis sedi
Aphis senecionis
Aphis senecioradicis
Aphis sierra
Aphis solitaria
Aphis spiraecola
Aphis spiraephaga
Aphis spiraephila
Aphis tahosalea
Aphis taraxacicola
Aphis thalictri
Aphis thaspii
Aphis ulmariae
Aphis umbrella
Aphis unaweepiensis
Aphis urticata
Aphis utahensis
Aphis vaccinii
Aphis valerianae
Aphis varians
Aphis vernoniae
Aphis viburni
Aphis viburniphila
Aphis viburniphila
Aphis wahena
Aphis wartenbergi
Aphis whiteshellensis
Aphis zonassa
Aphthargelia rumbleboredomia
Aphthargelia symphoricarpi
Aploneura ampelina
Aploneura lentisci
Appendiseta robiniae
Artemisaphis artemisicola
Asiphonaphis japonica
Asiphonaphis pruni
Asiphonaphis utahensis
Asiphonella dactylonii
Aspidaphis adjuvans
Aspidophorodon (Eoessigia) longicauda
Aspidophorodon longicauda
Atarsaphis agrifoliae
Atarsos grindeliae
Atheroides serrulatus
Atheroides vallescaldera
Aulacorthum capilanoense
Aulacorthum circumflexum
Aulacorthum dorsatum
Aulacorthum pterinigrum
Aulacorthum solani
avicularis
Betula pendula
Betulaphis arctosetis
Betulaphis brevipilosa
Betulaphis helvetica
Betulaphis pelei
Betulaphis quadrituberculata
Betulaphis quadrituberculata
Bipersona hottesi
Bipersona ochrocentri
Bipersona torticauda
Boernerina alni ssp. alaskensis
Boernerina occidentalis
Boernerina variabilis
Boernerina variabilis alaskensis
Brachycaudus (Appelia) prunicola
Brachycaudus (Appelia) schwartzi
Brachycaudus (Appelia) tragopogonis
Brachycaudus (Brachycaudina) rociadae
Brachycaudus (Prunaphis) cardui
Brachycaudus (Scrophulaphis) persicae
Brachycaudus (Thuleaphis) acaudata
Brachycaudus (Thuleaphis) rumexicolens
Brachycaudus acaudata
Brachycaudus cardui
Brachycaudus helichrysi
Brachycaudus persicae
Brachycaudus prunicola
Brachycaudus rociadae
Brachycaudus rumexicolens
Brachycaudus schwartzi
Brachycaudus spiraeae
Brachycaudus tragopogonis
Brachycolus brachysiphon
Brachycorynella asparagi
Brachyunguis bicolor
Brachyunguis bishopi
